问题,答案
"FreeRTOS中_FROM_ISR的作用是什么？","作用：在中断中调用的API，其禁用了调度器，无延时等阻塞操作，保证临界区资源快进快出访问"
"什么是上下文切换？","当操作系统决定暂停当前正在执行的任务并开始执行另一个任务时，就会发生上下文切换。"
"2. 每个任务的关键组成部分是什么？","**任务控制块（TCB，Task Control Block）**：  
- 每个任务都有一个TCB，包含该任务的所有信息，如任务状态、优先级、任务堆栈的起始地址和当前堆栈指针等。  
- TCB在FreeRTOS中用于管理和调度任务。  

**任务堆栈**：  
- 每个任务都有自己的堆栈空间，用于存储局部变量、函数调用返回地址和任务上下文（CPU寄存器的值）。  
- 堆栈空间是在创建任务时从共享内存（通常是SRAM）中分配的。  
- 采用heap4内存管理，分配的堆栈是连续的。  

**共享内存和堆栈分配**  
虽然STM32的内存是共享的，但任务堆栈的分配是通过分配内存区域来实现的，每个任务在创建时从共享内存中分配一块独立的堆栈空间。这种分配通常由FreeRTOS的内存管理函数（如`pvPortMalloc`）处理。  

---"
"6. 中断和任务在操作系统中分别是什么？它们的关系如何？","**中断和任务是操作系统处理并发性的两种基本机制。**  

**中断：**  
- 中断通常由硬件设备（如定时器、外部设备）或软件请求（如系统调用）触发。  
- 中断会暂停当前正在执行的程序，保存其上下文，并跳转到一个称为中断服务程序（ISR），完成后恢复程序继续执行。  
- FreeRTOS 允许用户编写中断服务程序（ISR），用于响应硬件事件或外部触发的中断。  
- 中断服务程序通常需要尽可能快速地完成执行，以便尽快恢复正常任务调度。  

**任务：**  
- 任务是操作系统调度和管理的基本执行单元，通常指线程（Thread）或进程（Process）。  
- FreeRTOS 通过调度器负责管理和调度多个任务，并确保它们按照优先级和就绪状态正确执行。  
- 每个任务都有自己的堆栈空间、上下文信息等，由调度器进行管理。  

**关系：**  
- 并发性：中断允许在某些事件发生时及时响应，而任务则允许多个代码块同时运行。  
- 中断服务程序可能需要与任务进行通信或共享数据。这种情况下需要谨慎设计数据共享和同步机制。  
- 中断可以唤醒阻塞状态下的任务，例如通过发送信号量或使用消息队列通知等机制。  
- 任务可以在其执行过程中禁用某些中断（通过临界区保护）以确保关键代码段不被打断。  

**FreeRTOS 中的应用：**  
- 中断通常用于处理硬件事件（如定时器、外设输入输出等），而任务用于实现更复杂的功能模块或业务逻辑。  

**资源共享与同步：**  
- 在 FreeRTOS 中，需要注意在中断服务程序和任务之间共享资源时可能出现竞态条件问题。  
- 可以使用信号量、消息队列等机制来实现资源共享和同步，在避免数据竞争方面起到重要作用。"
"7. 什么是高优先级打断低优先级中断？","### NVIC  
- NVIC（嵌套向量中断控制器）NVIC 是 ARM Cortex-M 系列处理器的一部分**是一种硬件结构**。  
- NVIC 通过**中断向量表来管理中断**。  
- 当中断发生时，处理器会根据**中断号从向量表中获取相应的中断服务程序地址**，然后开始执行相应的中断处理程序。  
- NVIC 还负责中断优先级的管理，它可以根据**中断类型和配置的优先级来确定哪个中断应该被优先处理**。  

### 中断抢占  
当一个低优先级中断正在执行时，如果有一个高优先级的中断触发。通常会发生以下情况：  
***\*1. \*\*中断抢占\*\*：\****当一个高优先级的中断触发时，如果其优先级高于当前正在执行的低优先级中断，处理器会立即中断当前正在执行的低优先级中断，并且开始执行高优先级中断的中断服务程序。这使得高优先级的中断能够迅速响应，保证了系统对重要事件的及时处理。  
***\*2. \*\*中断嵌套\*\**\***：在一些处理器中，包括使用 NVIC 的 ARM Cortex-M 系列处理器，支持中断嵌套。这意味着当高优先级中断发生时，它可以抢占正在执行的低优先级中断，并执行其自己的中断服务程序。但是，一旦高优先级中断处理完毕，处理器会返回到被抢占的低优先级中断处继续执行。"
"任务调度是如何通过SysTick进行的？","通过系统定时器中断触发。在ARM Cortex-M基础上的实现中，例如STM32微控制器，FreeRTOS通常使用**SysTick**定时器来生成操作系统节拍。SysTick是Cortex-M内核提供的一个系统定时器，专门设计用来支持操作系统。"
"3.SVC中断和PendSV","- **SVC（Supervisor Call）**： - `SVC`中断就是软中断，给用户提供一个访问硬件的接口。 - 主要用于启动第一个任务。 - 通过 `svc` 指令触发并进入 SVC 异常处理程序。 - **PendSV（Pendable Service Call）**： - 专门用于任务上下文切换。 - 被SysTick和taskyeild中断触发，优先级最低，在调度器需要切换任务时触发。 - 通过设置 NVIC 的 PendSV 位触发，并在异常处理程序中保存和恢复任务上下文。 ### SVC SVC 用于产生系统函数的调用请求。 **当用户程序想要控制特定的硬件时，它就会产生一个 SVC 异常**，然后操作系统提供的 SVC 异常服务例程得到执行，它再调用相关的操作系统函数，后者完成用户程序请求的服务。 ![20200807100320959.png](https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/20200807100320959.png) 系统调用处理异常，用户与内核进行交互，用户想做一些内核相关功能的时候必须通过SVC异常，让内核处于异常模式，才能调用执行内核的源码。**触发SVC异常，会立即执行SVC异常代码**。 ```c void triggerSVC(void) { __asm volatile (""svc 0""); } ``` **FreeRTOS中任务调度器触发了 `SVC` 中断来启动第一个任务，之后的工作都靠 `PendSV` 和 `SysTick` 中断触发来实现** 为什么要用SVC启动第一个任务？因为使用了OS，任务都交给内核。总不能像裸机调用普通函数一样启动一个任务。 ### PendSV `PendSV` 中断就是一个用来处理上下文切换的中断，可以由多种方式触发： 1. **`SysTick` 定时器中断**：这是最常见的触发方式，用于实现时间片轮转调度。 2. **其他中断**：其他中断处理程序也可以根据需要显式触发 `PendSV` 中断。 3. **任务调用**：任务本身也可以通过调用 `taskYIELD()` 或其他调度相关函数来触发 `PendSV` 中断。`osdelay`也可以触发，在阻塞任务的过程中，会将调度器先挂起，然后进行移动任务到阻塞链表的操作，再恢复调度器。恢复调度器后会自动检查是否需要进行任务切换，会触发`portYIELD_WITHIN_API`进行上下文切换。"
"11. 什么是消息队列？它在进程间通信中起什么作用？","**消息队列**是一种重要的进程间通信（IPC）机制，允许进程或线程安全地交换信息。这种机制通过在内存中创建一个队列来实现，进程可以向队列中添加消息，并从中读取消息。  

---"
"消息队列和共享内存的区别是什么？","消息队列和共享内存是两种常见的进程或任务间通信（IPC）机制，它们在用途、实现和适用场景上有显著的区别。选择哪种机制取决于应用的具体需求，包括数据传输的复杂性、同步需求、性能考虑等因素。  

### 消息队列  
消息队列是一个先入先出（FIFO）的数据结构，用于存储待处理的消息。进程或任务可以将消息发送到队列，其他进程或任务可以从队列接收消息。消息队列提供了一种松耦合的通信方式，发送者和接收者不需要同时在线，也不需要直接知道对方的存在。  

**优点**：  
- **同步与异步通信**：支持同步和异步消息传递。  
- **松耦合**：发送者和接收者之间的松耦合使得系统组件更容易管理和维护。  
- **消息传递**：可以跨不同进程安全地传递复杂的数据结构。  

**缺点**：  
- **性能开销**：每条消息的发送和接收都涉及到系统调用，可能比共享内存方式更慢。  
- **资源限制**：系统对可用消息队列的数量和大小可能有限制。  

### 共享内存  
共享内存允许两个或多个进程共享一个给定的存储区，是最快的IPC方法之一。所有共享内存的进程都可以直接读写这块内存。  

**优点**：  
- **性能**：因为数据不需要在进程间复制，所以共享内存通常提供了最高的数据传输速率。  
- **直接访问**：进程可以直接对内存进行读写操作，减少了中间层的开销。  

**缺点**：  
- **同步复杂性**：当多个进程需要访问共享内存时，需要额外的同步机制（如互斥锁、信号量等）来防止数据竞态和一致性问题。  
- **安全性和健壮性**：不当的内存访问可能导致数据损坏或程序崩溃。  

---"
"13. 互斥锁Mutex和自旋锁Spin有什么区别？","- 当加锁失败时，互斥锁用「线程切换」来应对，自旋锁则用「忙等待」来应对  
- 互斥锁：Mutex，独占锁，谁上锁谁有权释放，申请上锁失败后阻塞，不能在中断中调用  
- 自旋锁：Spinlock：申请上锁失败后，一直判断是否上锁成功，消耗CPU资源，可在中断中调用  
**注：互斥锁有优先级继承，信号量没有。**"
