问题,答案
"可以用malloc给一个类对象分配内存吗？","malloc分配内存不会调用构造函数"
"什么是深浅拷贝？它们之间有什么区别？","- 浅拷贝就是增加了一个指向相同堆区的指针，这将导致在析构的时候会重复释放。默认的拷贝构造和运算符重载都是浅拷贝。  
- 深拷贝是在拷贝的时候将内容申请内存，重新拷贝一份，放到内存中，指针指向这个新拷贝的部分，这样就不会出现析构的时候重复释放的问题了。"
"new与delete的实现原理是什么？","- new和delete实际调用malloc与free，但有以下区别：  
  - 申请失败后，new会抛出异常（bad_malloc），而malloc返回NULL  
  - 对于内置数据类型，行为一致；对于类，new会执行构造函数，delete会执行析构函数  
- new底层实际通过brk()和mmap()系统调用实现内存分配"
"什么是重载和重写？","**重载**：  
- 在同一个类中，方法相同，参数数量与类型不同（静态多态性）。  
- 例：构造函数，函数名相同，参数不同（返回值无法判断）。  

**重写**：  
- 在父类与子类中，方法与参数都相同（动态多态性）。  
- 子类对象调用该方法时，父类方法被屏蔽。"
"new和malloc有什么区别？","| 区别点       | new                                      | malloc                               |
| ------------ | ---------------------------------------- | ------------------------------------ |
| 语法         | `int *p = new int(0)`或`int *p = new int` | `int *p = (int*)malloc(sizeof(int))` |
| 初始化       | 可以初始化                               | 无                                   |
| 函数与运算符 | 操作符，返回指定类型的地址，不需类型转换 | 函数，返回void *                     |
| 失败返回值   | 抛出异常`bad_alloc`                      | 返回NULL                             |
| 构造析构调用 | 创建对象时自动调用                       | 无                                   |"
"什么是模板类？请给出一个C++模板类的示例及其使用方法。","```c++
// XX.h
template <typename T>
class MyTemplateClass {
private:
    T data;
public:
    MyTemplateClass(T value) : data(value) {}  // 构造函数
    void printData() {
        std::cout << ""Data: "" << data << std::endl;  // 模板类方法
    }
};

// XX.cpp
MyTemplateClass<int> obj1(10);   // 实例化为处理int类型的对象
MyTemplateClass<double> obj2(3.14);   // 实例化为处理double类型的对象
obj1.printData();    // 输出: Data: 10
obj2.printData();    // 输出: Data: 3.14
```"
"含有纯虚函数的类是否可以实例化？","不可以，需要被派生类继承后才行。  
在基类中不能对虚函数给出具体的有意义的实现，就可以把它声明为纯虚函数，它的实现留给该基类的派生类去做。  

```c++
class VirtualClass{
public:
    virtual void fun1() = 0;  // 纯虚函数
    virtual ~VirtualClass();
};

class ClassA : public VirtualClass{
public:
    virtual void fun1() {  // 虚函数
        printf(""VirtualClass\n"");
    };
    virtual ~VirtualClass();
};

int main(){
    //编译报错，这个非法的
    VirtualClass * virtualClass = new VirtualClass(); //error: cannot allocate an object of abstract type 'VirtualClass'
    VirtualClass * classA = new ClassA();
    classA->fun1();
    return 0;
}
```"
"指针与引用在C++中有什么区别？","- **指针**：指向一个对象后，对它所指向的变量进行间接操作。  
- **引用**：是目标变量的别名，直接操作目标变量。  

```c++
int a = 996;
int *p = &a; // p是指针, &在此是求地址运算
int &r = a; // r是引用, &在此起标识作用
```

1. **初始化要求**：引用必须初始化，指针不用。  
2. **修改性**：引用初始化后不能修改，指针可以改变所指对象。  
3. **自增操作**：指针++为地址，引用++为值。  
4. **sizeof结果**：sizeof 指针为指针大小，sizeof 引用为数据大小。  

- **指针转换为引用**：通过`*p`解引用，随后作为参数传入即可。  
- **引用转换为指针**：通过`&`取引用对象的地址即可。"
"构造函数是否可以是虚函数？析构函数为什么建议是虚函数？","- 构造函数不可以是虚函数。如果构造函数是虚函数，那么调用构造函数就需要去找vptr（虚函数表指针），而此时vptr还没有初始化。  
- 析构函数需要是虚函数的原因：  
  当父类指针指向子类对象时，释放子类对象时，若父类析构函数非虚，会只调用父类析构函数，子类相较于父类多出的部分不会被析构。  

示例代码：  
```c++
BaseClass* pObj = new SubClass();
delete pObj;
```  

- 若析构函数是虚函数（即加上`virtual`关键词），`delete`时基类和子类都会被释放。  
- 若析构函数不是虚函数（即不加`virtual`关键词），`delete`时只释放基类，不释放子类，会**造成内存泄漏**问题。"
"什么是内存泄漏？如何避免内存泄漏？","内存泄漏（Memory Leak）是指程序中已动态分配的堆内存由于某种原因程序未释放或无法释放，造成系统内存的浪费，导致程序运行速度减慢甚至系统崩溃等严重后果  

避免内存泄露的方法  
- 有良好的编码习惯，动态开辟内存空间，及时释放内存  
- 采用智能指针来避免内存泄露  
- 采用静态分析技术、源代码插装技术等进行检测"
