问题,答案
"如何在Linux中将文件内容转换为大写并保存到新文件？","```shell
cat file | tr a-z A-Z > newfile #将文件内容转换为大写
```"
"什么是文件系统？","![image-20230706162608465.png](https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/image-20230706162608465.png)"
"Linux是否支持浮点运算？","Linux kernel默认不支持浮点计算。  
因为浮点相关寄存器(浮点计算上下文)在系统调用（进程切换）的过程中不会被保存，出于进程切换效率的考虑"
"Linux设备驱动中有哪些主要设备类型？","![image-20230708120156845.png](https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/image-20230708120156845.png)  

（注：由于原内容仅为图片链接，答案部分保留了原始图片引用。若需文字答案，建议补充图片对应的文字说明或关键点描述）"
"系统调用与普通函数调用的区别是什么？","| 类别     | 系统调用           | 函数调用               |
| -------- | ------------------ | ---------------------- |
| 简介     | 调用内核的服务     | 调用函数库中的一个程序 |
| 涉及对象 | 程序与内核         | 用户与程序             |
| 运行空间 | 内核地址空间       | 用户地址空间           |
| 开销     | 上下文切换，开销大 | 小                     |"
"如何手动释放内存？","采用TOP命令查看内存占用后，可以通过`/proc/sys/vm/drop_caches`来释放内存：  
`[root@ipa]# echo 0~3 > /proc/sys/vm/drop_caches`  

**drop_caches的值可以是0-3之间的数字，代表不同的含义：**  
0：不释放（系统默认值）  
1：释放页缓存  
2：释放dentries和inodes  
3：释放所有缓存"
"Cortex-M能否运行Linux？","不能，其不存在硬件的MMU（内存管理单元）（将硬件物理地址映射到虚拟地址并做检查）  
STM32MP1（Cortex-A7）可运行Linux"
"什么是设备驱动中的逻辑设备表？","![image-20230708115833093.png](https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/image-20230708115833093.png)  
逻辑设备表  
<img src=""https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/image-20230708115847593.png"" alt=""image-20230708115847593"" style=""zoom:50%;"" />  
记录了逻辑设备名称与物理设备名称的对应关系以及驱动程序入口地址"
"什么是socket，它是如何工作的？","- 用户建立一个socket，指明网络协议、端口号等，在内核中开辟一个空间，返回句柄fd  
- 用户将数据包用write系统调用传给内核，内核调用网卡驱动发送出去  
- 对端主机反向处理数据，应用采用read系统调用读取  
- ![image-20230708125052374.png](https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/image-20230708125052374.png)"
"什么是Linux设备树（Device Tree）？","Linux设备树（Device Tree）是一种**描述硬件设备和设备间关系的数据结构**，用于在嵌入式系统中配置和管理硬件。它是**一种与平台无关的机制**，它将硬件设备的相关信息以一种可移植的格式储存在一个或多个设备树文件中。  
设备树文件是以一种层级结构的形式描述硬件设备及其属性。它包含了设备的类型、寄存器地址、中断、时钟等信息，以及设备间的关系和依赖关系。通过解析设备树文件，内核可以获取设备的配置信息，并正确地初始化和管理硬件设备。"
