问题,答案
"全局变量和局部变量有什么区别？","全局变量存储在静态存储区，  
局部变量存储在栈中"
"堆栈溢出的原因有哪些？","- 动态内存分配后未正确回收，内存泄漏  
- 函数递归调用深度太深，栈深度不够"
"strcmp函数的返回值如何比较两个字符串的大小？","```
字符串1＝字符串2，返回值＝0；
字符串2〉字符串2，返回值〉0；
字符串1〈字符串2，返回值〈0。
```"
"局部变量与全局变量重名时会发生什么？","- 局部变量在栈中；全局变量在静态存储区  
- 局部变量作用域在`{}`内，就近原则"
"什么是运算符优先级中的结合律（associativity）？","如果一个表达式中的两个操作数具有相同的优先级，那么它们的结合律（associativity）决定它们的组合方式是从左到右或是从右到左。  

![img](https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/v2-47e3ccc5d262631d2d3f44918791f47d_720w.webp)"
"如何防止头文件被重复引用？","当程序中第一次 `#include` 该文件时，由于 `_NAME_H` 尚未定义，所以会定义 `_NAME_H` 并执行“头文件内容”部分的代码；  
当发生多次 `#include` 时，因为前面已经定义了 `_NAME_H`，所以不会再重复执行“头文件内容”部分的代码。  

```c
#ifndef _NAME_H
#define _NAME_H
//头文件内容
#endif
```"
"如何在C++中比较浮点数？","```c++
// float 4byte
abs(a-b) < 0.00001 1e^-5;
// double 8byte
// 判断阈值更小，16位左右
```"
"函数调用时参数是如何传递和存储的？返回值存放在哪里？","```c
void fun(int a, int b);
fun(1, 2);  // 调用函数时，入栈顺序为参数从右往左，从而取参数时从左往右
| 1 |
| 2 |
——
```
右边的参数先入栈，存放在R0-R3中，多余4个的参数存放在任务栈中  
返回值在R0寄存器"
"C语言中如何使用宏进行位操作？","```c
#define GetBit(x , bit)   (((x) & (1 << (bit)) >> (bit))  // 获取将x的第y位（0或1）先左移再右移  
#define SetBit(x , bit)   ((x) |=  (1 << (bit))  // 将X的第Y位置1  
#define ClrBit(x , bit)   ((x) &= ~(1 << (bit))  // 将X的第Y位清0  
```"
"#define 与 const有什么区别？","| 名称    | 编译阶段                 | 安全性         | 内存占用                      | 调试     |  
| ------- | ------------------------ | -------------- | ----------------------------- | -------- |  
| #define | 编译的预处理阶段展开替换 | 低             | 占用代码段空间（.text）       | 无法调试 |  
| const   | 编译、运行阶段           | 有数据类型检查 | 占用数据段空间（.data常量区） | 可调式   |"
"如何将`uint32_t`类型数据赋值到`uint8_t`数组中？","```c
uint32_t data = 123;
uint8_t databuf[4] = {0};
*( (uint32_t *)databuf ) = data;//等价于memcpy(databuf, &data, 4);
```"
"float的精度和取值范围是怎样的？","- float的精度是保证至少**7位有效数字**是准确的  
- float的取值范围[-3.4028235E38, 3.4028235E38]，精确范围是[-340282346638528859811704183484516925440, 340282346638528859811704183484516925440]  
[(1条消息) float的精度和取值范围_float精度_AlbertS的博客-CSDN博客](https://blog.csdn.net/albertsh/article/details/92385277)"
"static关键字在C语言中有哪些用法和注意事项？","- **在函数体内**：  
  - **修饰局部变量**：其访问权限在函数内，仅初始化一次，存储于静态存储区（可通过其地址，在其他文件中访问修改，BUG！！！）  

- **在模块内，函数体外**：  
  - **修饰全局变量**：将模块的全局变量限制在模块内部（仅供.c使用），不能跨文件共享  

- **在模块内**：  
  - **修饰函数**：该函数仅可被本模块调用，不能作为接口暴露给其他模块  

**注意**：static 与 extern不可同时修饰一个变量"
"如何在C语言中访问和修改内存中特定地址的数据？","```c
// 读取内存地址数据的方法：
// 方法1 - 直接读取
int result = *(int *)0x123456;

// 方法2 - 通过指针变量读取
int *ptr = (int *)0x123456;
int result = *ptr;

// 修改内存地址数据的方法：
// 方法1 - 直接修改
*(int * const)(0x56a3) = 0x3344;

// 方法2 - 通过指针变量修改
int * const ptr = (int *)0x56a3;
*ptr = 0x3344;
```"
