问题,答案
"什么是TTL电平的标准？","- 供电范围在0~5V；  
- \>2.7V是高电平；  
- \<0.5V是低电平"
"在IIC地址交换过程中，如果新的IIC设备接入，主机和从机如何交换地址？","1. 主机发送广播地址（遍历所有预定义的地址进行扫描），等待应答  
2. 从机监听到自己地址后进行应答"
"IIC协议最多支持多少个设备？","I2C 协议使用地址来选择特定的从设备进行通信。每个从设备都有一个唯一的 7 位或 10 位地址。  
在 I2C 协议中，最多可以有 128 个 7 位地址设备和 1024 个 10 位地址设备。但实际可连接的设备数量受制于总线负载和电气特性等因素。"
"什么是RS485？","RS485的电压范围为±6V。  
通过差分信号抗干扰，当A线高于B线时，表示逻辑""1""；当B线高于A线时，表示逻辑""0""。  
<img src=""https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/image-20230725215739796.png"" alt=""image-20230725215739796"" style=""zoom:50%;"" />"
"RS232的电平特性是什么？","RS232采用±15V的电平标准：  
- 负电平表示逻辑""1""，正电平表示逻辑""0""，通过提高电压差的方式抗干扰  
- 负电平范围为-3V至-15V  
- 正电平范围为+3V至+15V  

![image-20230725215502450](https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/image-20230725215502450.png)"
"IIC从机地址有哪些配置方式？","1. **内部固定地址**：某些 I2C 从机设备具有内部固定的从机地址，无法进行配置或更改。在这种情况下，从机地址是设备制造商预定义的。  
2. **硬件引脚配置**：一些 I2C 从机设备具有专用引脚或引脚配置选项，用于设置从机地址。通过使用跳线帽、电阻、芯片的引脚配置等方式，用户可以将特定的引脚配置为高电平或低电平，从而设置从机地址。  
3. **寄存器配置**：一些 I2C 从机设备允许使用特殊的寄存器配置来设置从机地址。这通常通过主机和从机之间的特殊序列和命令来实现。"
"UART的基本工作原理是什么？","- 空闲时总线保持高电平  
- 起始位为1bit的低电平  
- 数据位为8bit  
- 停止位为1bit的高电平"
"SPI有哪四种模式？请分别说明其CPOL和CPHA的配置及描述。","SPI的四种模式如下：  

|  mode  | CPOL | CPHA | 描述                                                         |  
| :----: | :--: | :--: | ------------------------------------------------------------ |  
| mode 0 |  0   |  0   | <img src=""https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/988790-20200311120321586-1644899478.png"" alt=""img"" style=""zoom:67%;"" /> |  
| mode 1 |  0   |  1   | <img src=""https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/988790-20200311120250511-621966252.png"" alt=""img"" style=""zoom:67%;"" /> |  
| mode 2 |  1   |  0   | <img src=""https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/988790-20200311121435779-1051725621.png"" alt=""img"" style=""zoom: 80%;"" /> |  
| mode 3 |  1   |  1   | <img src=""https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/988790-20200311121424628-840109130.png"" alt=""img"" style=""zoom: 80%;"" /> |  

---"
"请对比UART、232、485、IIC、SPI和CAN协议的通信速率、优劣、工作模式、模块数量、接口数量和时序图特点。","**UART**  
- 通信速率：115200 bit/s 约100 Kbit/s  
- 优劣：优势：双线制，全双工；劣势：时序要求严格，速率低  
- 工作模式：全双工，异步（依据约定波特率采样）  
- 模块数量：一对一  
- 接口数量：TX、RX  
- 时序图：起始位低电平，数据位8 bit（每Byte数据先发送低位），停止位以及空闲高电平，一帧10 bit  
![image-20221109181436534](https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/image-20221109181436534.png)  
![img](https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/v2-39dd6c1224d0e3fa0144e90519f4745d_720w.webp)  

**232**  
- 通信速率：未明确  
- 优劣：优势：规定了电气特性；劣势：传输距离15m，速率低  
- 工作模式：同UART  
- 模块数量：一对一  
- 接口数量：未明确  
- 时序图：未明确  

**485**  
- 通信速率：未明确  
- 优劣：优势：规定了电气特性，可组网，传输距离远1500m；劣势：半双工  
- 工作模式：半双工  
- 模块数量：一对多  
- 接口数量：A、B  
- 时序图：  
![image-20221211170116471.png](https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/image-20221211170116471.png)  

**IIC**  
- 通信速率：100或400 Kbit/s  
- 优劣：优势：双线制，低成本，有应答；劣势：通信速率低，半双工，通信距离短  
- 工作模式：半双工，同步（起始信号，应答信号，结束信号）  
- 模块数量：多主多从（谁控制时钟线谁为主设备）（器件地址唯一）  
- 接口数量：SDA、SCLK  
- 时序图：每Byte数据先发送高位，一帧9bit，SCLK（高电平读取，低电平发送）  
![20180514184751564.png](https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/20180514184751564.png)  
![image-20221211112648861](https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/image-20221211112648861.png)  

**SPI**  
- 通信速率：10到150 Mbit/s  
- 优劣：优势：全双工高速，数据长度不限；劣势：从机无应答信号，引脚较多，通信距离短  
- 工作模式：全双工，同步（拉低片选，依据时钟沿采样）  
- 模块数量：一主多从（一、多根互斥的CS片选）（二、菊花链）  
- 接口数量：SCK、MOSI、MISO、CS  
- 时序图：每Byte数据先发送高位，帧长不限  
![watermark.png](https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/watermark.png)  
![v2-069df3709fb1a0c5486acbf620890313_720w.webp](https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/v2-069df3709fb1a0c5486acbf620890313_720w.webp)  

**CAN**  
- 通信速率：bx CAN：1Mbit/s；CAN FD：8Mbit/s  
- 优劣：优势：差分电平通信距离长；劣势：速率低带宽小  
- 工作模式：半双工  
- 模块数量：不分主从  
- 接口数量：CANH、CANL  
- 时序图：  
![watermark.png](https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/watermark.png)  
![image-20221211172121365.png](https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/image-20221211172121365.png)"
"CAN的物理层是如何工作的？","- 采用两条线差分电平（0~5 V）
- CAN H电压高于CAN L时为显性电平（逻辑0）
- 使用CAN收发器将TX/RX电平转换为差分信号
- 各设备通过ID号区分

![image-20230608160858116.png](https://obsidian-1321127127.cos.ap-beijing.myqcloud.com/image-20230608160858116.png)"
"IIC总线空闲时的状态是什么？","- 总线空闲时，SCLK与SDA均为高电平"
